============================================================
  Density — SİSTEM LOGLARI
  Kamera  : cam3
  Tarih   : 2026-06-16
  Açıldı  : 2026-06-16 00:00:02
============================================================

[2026-06-16 00:00:02] [SYS] YENİ GÜN: 2026-06-15 -> 2026-06-16
[2026-06-16 10:32:39] [DBG] [PERF] FPS=0.5 YOLO=20ms Buf=0/30 Drop=0
[2026-06-16 10:33:10] [DBG] [PERF] FPS=0.5 YOLO=21ms Buf=0/30 Drop=0
[2026-06-16 10:33:41] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:34:11] [DBG] [PERF] FPS=0.5 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:34:42] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:35:13] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:35:13] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:35:43] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:36:13] [DBG] [PERF] FPS=0.5 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:36:44] [DBG] [PERF] FPS=0.5 YOLO=21ms Buf=0/30 Drop=0
[2026-06-16 10:37:15] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:37:45] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:38:16] [DBG] [PERF] FPS=0.5 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 10:38:46] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:39:17] [DBG] [PERF] FPS=0.5 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 10:39:47] [DBG] [PERF] FPS=0.5 YOLO=20ms Buf=0/30 Drop=0
[2026-06-16 10:40:14] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:40:18] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:40:48] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:41:19] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:41:49] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:42:20] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:42:50] [DBG] [PERF] FPS=0.5 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:43:21] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:43:52] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:44:22] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:44:53] [DBG] [PERF] FPS=0.5 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 10:45:15] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:45:23] [DBG] [PERF] FPS=0.5 YOLO=28ms Buf=0/30 Drop=0
[2026-06-16 10:45:54] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:46:24] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:46:55] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:47:25] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:47:56] [DBG] [PERF] FPS=0.5 YOLO=19ms Buf=0/30 Drop=0
[2026-06-16 10:48:27] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:48:57] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:49:28] [DBG] [PERF] FPS=0.5 YOLO=19ms Buf=0/30 Drop=0
[2026-06-16 10:49:59] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:50:17] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:50:29] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:51:00] [DBG] [PERF] FPS=0.5 YOLO=11ms Buf=0/30 Drop=0
[2026-06-16 10:51:30] [DBG] [PERF] FPS=0.5 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:52:01] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:52:32] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:53:02] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:53:33] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:54:03] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:54:34] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:55:04] [DBG] [PERF] FPS=0.5 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:55:19] [DBG] [GC] Periyodik bellek temizligi yapildi
