[2026-03-14 14:06:00] [API-ISTEK] Saat=2026-03-14T11:05:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:06:00] [API-ISTEK] Saat=2026-03-14T11:05:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:07:00] [API-ISTEK] Saat=2026-03-14T11:06:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:07:00] [API-ISTEK] Saat=2026-03-14T11:06:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:08:00] [API-ISTEK] Saat=2026-03-14T11:07:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:08:00] [API-ISTEK] Saat=2026-03-14T11:07:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:09:00] [API-ISTEK] Saat=2026-03-14T11:08:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:09:00] [API-ISTEK] Saat=2026-03-14T11:08:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:10:00] [API-ISTEK] Saat=2026-03-14T11:09:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:10:00] [API-ISTEK] Saat=2026-03-14T11:09:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:11:00] [API-ISTEK] Saat=2026-03-14T11:10:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:11:00] [API-ISTEK] Saat=2026-03-14T11:10:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:12:00] [API-ISTEK] Saat=2026-03-14T11:11:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:12:00] [API-ISTEK] Saat=2026-03-14T11:11:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:13:00] [API-ISTEK] Saat=2026-03-14T11:12:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:13:00] [API-ISTEK] Saat=2026-03-14T11:12:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:14:00] [API-ISTEK] Saat=2026-03-14T11:13:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:14:00] [API-ISTEK] Saat=2026-03-14T11:13:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:15:00] [API-ISTEK] Saat=2026-03-14T11:14:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:15:00] [API-ISTEK] Saat=2026-03-14T11:14:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:16:00] [API-ISTEK] Saat=2026-03-14T11:15:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:16:00] [API-ISTEK] Saat=2026-03-14T11:15:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:17:00] [API-ISTEK] Saat=2026-03-14T11:16:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:17:00] [API-ISTEK] Saat=2026-03-14T11:16:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:18:00] [API-ISTEK] Saat=2026-03-14T11:17:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:18:00] [API-ISTEK] Saat=2026-03-14T11:17:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:19:00] [API-ISTEK] Saat=2026-03-14T11:18:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:19:00] [API-ISTEK] Saat=2026-03-14T11:18:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:20:00] [API-ISTEK] Saat=2026-03-14T11:19:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:20:00] [API-ISTEK] Saat=2026-03-14T11:19:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:21:00] [API-ISTEK] Saat=2026-03-14T11:20:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:21:00] [API-ISTEK] Saat=2026-03-14T11:20:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:22:00] [API-ISTEK] Saat=2026-03-14T11:21:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:22:00] [API-ISTEK] Saat=2026-03-14T11:21:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:23:00] [API-ISTEK] Saat=2026-03-14T11:22:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:23:00] [API-ISTEK] Saat=2026-03-14T11:22:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:24:00] [API-ISTEK] Saat=2026-03-14T11:23:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:24:00] [API-ISTEK] Saat=2026-03-14T11:23:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:25:00] [API-ISTEK] Saat=2026-03-14T11:24:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
